Num,Ch,Res
35,0,0.108799024855
35,2,0.0
35,1,0.106841895647
36,0,0.993319041514
36,2,0.189807538945
36,1,0.231993102162
37,0,0.238207074586
37,2,0.0
37,1,0.0591614482921
38,0,0.105778067712
38,2,1.10693130852
38,1,0.398052593085
39,0,0.136306641421
39,2,0.0993847968806
39,1,0.0693244428456
41,0,0.101251923757
41,2,0.0558812644352
41,1,0.083943074065
42,0,0.305206102797
42,2,0.0737270029723
42,1,0.232191621809
44,0,0.0576901943483
44,2,0.0
44,1,0.0676543358858
45,0,0.135499737661
45,2,0.0
45,1,0.63500539568
47,0,0.123467078081
47,2,0.0
47,1,0.193295756712
5,0,0.0997516565956
5,2,0.0445704181651
5,1,0.0761335666587
52,0,0.0
52,2,0.0
52,1,0.0
55,0,0.125769239921
55,2,0.0
55,1,0.123064927609
56,0,0.0
56,2,0.0
56,1,0.0876855784503
57,0,0.242903872403
57,2,0.114379653634
57,1,0.0402391831347
59,0,0.0
59,2,0.082809314738
59,1,0.0
61,0,0.168349625789
61,2,0.227183276149
61,1,0.245203857329
63,0,0.123202662898
63,2,0.0563548804629
63,1,0.0799126049233
66,0,0.0
66,2,0.0719733015416
66,1,0.149770980641
67,0,0.230638530378
67,2,0.131442196552
67,1,0.142991697726
7,0,0.147046581633
7,2,0.251883399687
7,1,0.273830581125
70,0,0.0957669632113
70,2,0.172471380169
70,1,0.0
71,0,0.0
71,2,0.19830035936
71,1,0.163659325237
73,0,0.95571674357
73,2,0.32535755434
73,1,0.311025263712
74,0,0.704710065286
74,2,0.0
74,1,0.076149912394
75,0,0.0722813031265
75,2,0.104957644727
75,1,0.100955525997
77,0,0.0
77,2,0.0469571009754
77,1,0.0599762076732
78,0,0.115014577272
78,2,0.0
78,1,0.130365278269
79,0,0.0
79,2,0.141619758858
79,1,0.0
8,0,0.840472728168
8,2,0.0
8,1,0.0
80,0,0.0817872389005
80,2,0.150951739265
80,1,0.0
81,0,0.205272658945
81,2,0.104717345574
81,1,0.189026828272
82,0,0.424262121979
82,2,0.592799227913
82,1,0.106929946869
83,0,0.207316739143
83,2,0.0774699467809
83,1,0.0
84,0,0.0892043981612
84,2,0.0
84,1,0.0
86,0,0.380680078309
86,2,1.74568695986
86,1,1.99970087571
88,0,0.360854843052
88,2,0.183996331138
88,1,0.208072383862
90,0,0.265899320597
90,2,0.410880886474
90,1,0.272260355806
91,0,0.100679484837
91,2,0.560583342498
91,1,0.690901361699
92,0,0.0
92,2,0.0
92,1,0.0
94,0,0.0589150911677
94,2,0.138087708847
94,1,0.0336112715944
95,0,0.0474568126477
95,2,0.0
95,1,0.0
99,0,0.0548334161821
99,2,0.203537397729
99,1,0.0742812981407
1,0,0.131323523168
1,2,0.0
1,1,0.689601243791
10,0,0.647794217877
10,2,0.145890301546
10,1,0.534225508426
100,0,0.277258415681
100,2,0.976407214048
100,1,0.0689373348826
