Num,Ch,Res,Hit_Direction,x_H,y_H,z_H,x_R,y_R,z_R
1,2,0.283656853079,2,-0.125,-0.201,0.032,-0.125,0.25,0.034
1,1,0.0,2,-0.125,-0.201,0.032,-0.125,0.25,0.034
11,0,0.0,1,-0.117,0.25,0.114,0.125,0.2,0.057
11,2,0.0796856271409,1,-0.117,0.25,0.114,0.125,0.2,0.057
11,1,0.0609967978883,1,-0.117,0.25,0.114,0.125,0.2,0.057
12,0,0.204264827795,0,0.125,-0.2,0.08,0.125,0.2,0.057
12,2,0.0751395503828,0,0.125,-0.2,0.08,0.125,0.2,0.057
12,1,0.111427422102,0,0.125,-0.2,0.08,0.125,0.2,0.057
14,0,0.590121935494,0,0.125,0.1,0.08,0.125,0.2,0.057
14,2,0.232081067793,0,0.125,0.1,0.08,0.125,0.2,0.057
14,1,0.296861126201,0,0.125,0.1,0.08,0.125,0.2,0.057
15,0,0.102827762069,0,-0.075,-0.1,0.034,0.125,0.2,0.057
15,2,0.112959600796,0,-0.075,-0.1,0.034,0.125,0.2,0.057
15,1,0.0554340451474,0,-0.075,-0.1,0.034,0.125,0.2,0.057
16,0,0.0626367588566,1,-0.125,0.25,0.034,-0.075,0.1,0.057
16,2,0.0784932481956,1,-0.125,0.25,0.034,-0.075,0.1,0.057
16,1,0.0746980384643,1,-0.125,0.25,0.034,-0.075,0.1,0.057
17,0,0.0809242464034,1,-0.125,0.25,0.08,-0.075,0.1,0.057
17,2,0.0793529671561,1,-0.125,0.25,0.08,-0.075,0.1,0.057
17,1,0.0960233602037,1,-0.125,0.25,0.08,-0.075,0.1,0.057
18,0,0.192008788565,0,0.125,-0.2,0.034,-0.075,0.1,0.057
18,2,0.145705814151,0,0.125,-0.2,0.034,-0.075,0.1,0.057
18,1,0.0,0,0.125,-0.2,0.034,-0.075,0.1,0.057
19,0,0.110194154527,1,0.075,-0.2,0.017,-0.075,0.1,0.057
19,2,0.0,1,0.075,-0.2,0.017,-0.075,0.1,0.057
19,1,0.0,1,0.075,-0.2,0.017,-0.075,0.1,0.057
2,0,1.01477196153,0,-0.125,0.2,0.08,-0.125,0.25,0.034
2,2,0.220291710819,0,-0.125,0.2,0.08,-0.125,0.25,0.034
2,1,0.0,0,-0.125,0.2,0.08,-0.125,0.25,0.034
20,0,0.0364945814053,0,-0.075,-0.1,0.08,-0.075,0.1,0.057
20,2,0.0689510803734,0,-0.075,-0.1,0.08,-0.075,0.1,0.057
20,1,0.0,0,-0.075,-0.1,0.08,-0.075,0.1,0.057
21,0,0.0,1,0.125,0.25,0.034,-0.075,-0.1,0.057
21,2,0.0,1,0.125,0.25,0.034,-0.075,-0.1,0.057
21,1,0.0720448373604,1,0.125,0.25,0.034,-0.075,-0.1,0.057
23,0,0.123326886559,2,-0.175,-0.248,0.0,-0.075,-0.1,0.057
23,2,0.648170631054,2,-0.175,-0.248,0.0,-0.075,-0.1,0.057
23,1,0.0874981112483,2,-0.175,-0.248,0.0,-0.075,-0.1,0.057
24,0,0.0333656614088,0,-0.075,0.0,0.057,-0.075,-0.1,0.057
24,2,0.0318115868124,0,-0.075,0.0,0.057,-0.075,-0.1,0.057
24,1,0.0,0,-0.075,0.0,0.057,-0.075,-0.1,0.057
25,0,0.0,1,0.0,0.2,0.057,-0.075,-0.1,0.057
25,2,0.0,1,0.0,0.2,0.057,-0.075,-0.1,0.057
25,1,0.0,1,0.0,0.2,0.057,-0.075,-0.1,0.057
26,0,0.0870991815785,1,0.075,0.2,0.08,-0.092,-0.25,0.017
26,2,0.0,1,0.075,0.2,0.08,-0.092,-0.25,0.017
26,1,0.075388720063,1,0.075,0.2,0.08,-0.092,-0.25,0.017
27,0,0.16861486757,2,0.092,0.227,0.032,-0.092,-0.25,0.017
27,2,0.126655441356,2,0.092,0.227,0.032,-0.092,-0.25,0.017
27,1,0.0999635715059,2,0.092,0.227,0.032,-0.092,-0.25,0.017
28,0,0.077742073492,0,-0.125,-0.225,0.034,-0.092,-0.25,0.017
28,2,0.0940765895666,0,-0.125,-0.225,0.034,-0.092,-0.25,0.017
28,1,0.0,0,-0.125,-0.225,0.034,-0.092,-0.25,0.017
29,0,0.105448595073,1,-0.075,-0.2,0.017,-0.092,-0.25,0.017
29,2,0.0,1,-0.075,-0.2,0.017,-0.092,-0.25,0.017
29,1,1.34907888188,1,-0.075,-0.2,0.017,-0.092,-0.25,0.017
3,0,0.0,1,-0.115,-0.25,0.034,-0.125,0.25,0.034
3,2,0.0,1,-0.115,-0.25,0.034,-0.125,0.25,0.034
3,1,0.0426795788783,1,-0.115,-0.25,0.034,-0.125,0.25,0.034
30,0,0.174305074663,1,0.125,-0.2,0.08,-0.092,-0.25,0.017
30,2,0.146716138789,1,0.125,-0.2,0.08,-0.092,-0.25,0.017
30,1,0.151556567458,1,0.125,-0.2,0.08,-0.092,-0.25,0.017
31,0,0.0,1,-0.075,0.2,0.017,-0.075,0.2,0.114
31,2,0.0,1,-0.075,0.2,0.017,-0.075,0.2,0.114
31,1,0.0,1,-0.075,0.2,0.017,-0.075,0.2,0.114
33,0,0.710593911438,0,-0.075,0.1,0.057,-0.075,0.2,0.114
33,2,0.0,0,-0.075,0.1,0.057,-0.075,0.2,0.114
33,1,0.16583112912,0,-0.075,0.1,0.057,-0.075,0.2,0.114
34,0,0.535012951123,1,0.15,0.25,0.017,-0.075,0.2,0.114
34,2,0.109782110075,1,0.15,0.25,0.017,-0.075,0.2,0.114
34,1,3.96522456684,1,0.15,0.25,0.017,-0.075,0.2,0.114
35,0,0.23210242466,2,-0.092,0.2205,0.032,-0.075,0.2,0.114
35,2,0.520503537371,2,-0.092,0.2205,0.032,-0.075,0.2,0.114
35,1,0.0,2,-0.092,0.2205,0.032,-0.075,0.2,0.114
36,0,0.0,1,0.075,0.2,0.097,0.125,-0.2,0.08
36,2,0.0,1,0.075,0.2,0.097,0.125,-0.2,0.08
36,1,0.0,1,0.075,0.2,0.097,0.125,-0.2,0.08
37,0,0.0,1,-0.075,0.2,0.017,0.125,-0.2,0.08
37,2,0.0,1,-0.075,0.2,0.017,0.125,-0.2,0.08
37,1,0.0,1,-0.075,0.2,0.017,0.125,-0.2,0.08
38,0,0.128347612171,0,-0.075,0.2,0.057,0.125,-0.2,0.08
38,2,0.136414916639,0,-0.075,0.2,0.057,0.125,-0.2,0.08
38,1,0.26237055648,0,-0.075,0.2,0.057,0.125,-0.2,0.08
39,0,0.170088590713,2,-0.092,0.2201,0.032,0.125,-0.2,0.08
39,2,0.191659029028,2,-0.092,0.2201,0.032,0.125,-0.2,0.08
39,1,0.179188966169,2,-0.092,0.2201,0.032,0.125,-0.2,0.08
4,0,0.0,1,0.0,-0.25,0.034,-0.125,0.25,0.034
4,2,0.0,1,0.0,-0.25,0.034,-0.125,0.25,0.034
4,1,0.0,1,0.0,-0.25,0.034,-0.125,0.25,0.034
