Num,Ch,Hit_Direction,x_H,y_H,z_H,x_R,y_R,z_R
33,2,0,-0.075,0.1,0.057,-0.075,0.2,0.114
34,2,1,0.15,0.25,0.017,-0.075,0.2,0.114
35,2,2,-0.092,0.2205,0.032,-0.075,0.2,0.114
36,2,1,0.075,0.2,0.097,0.125,-0.2,0.08
37,2,1,-0.075,0.2,0.017,0.125,-0.2,0.08
38,2,0,-0.075,0.2,0.057,0.125,-0.2,0.08
39,2,2,-0.092,0.2201,0.032,0.125,-0.2,0.08
40,2,1,0,-0.2,0,0.125,-0.2,0.08
41,2,1,-0.075,0.2,0.097,0.075,-0.1,0.08
42,2,0,0.075,0.1,0.034,0.075,-0.1,0.08
43,2,1,0,-0.25,0.097,0.075,-0.1,0.08
44,2,1,0,0.25,0,0.075,-0.1,0.08
45,2,2,-0.067,0.221,0.032,0.075,-0.1,0.08
46,2,0,-0.075,-0.2,0.08,-0.125,-0.1,0.034
47,2,1,-0.075,-0.2,0.017,-0.125,-0.1,0.034
48,2,1,-0.092,0.25,0.097,-0.125,-0.1,0.034
49,2,1,0.075,0.2,0.08,-0.125,-0.1,0.034
50,2,2,0.092,0.227,0.032,-0.125,-0.1,0.034
