Hit_Direction,Response_Position,Ch,x_H,y_H,z_H,x_R,y_R,z_R,Num,Res
2,116,1,0.091666669,-0.24849999,0.032000002,0.0,0.25,0.034000002,70,0.0545213356425
0,119,1,0.075000003,-0.100000001,0.057,0.150000006,0.201499999,0.032499999,71,0.206564377282
0,120,1,0.125,0.25,0.057,0.091666669,0.25,0.017000001,72,0.0828462086062
1,120,1,0.125,0.25,0.057,0.091666669,0.25,0.017000001,73,0.373389824815
0,121,1,-0.075000003,0.200000003,0.057,-0.091666669,0.223499998,0.017,74,0.0793318253044
1,121,1,-0.075000003,0.200000003,0.057,-0.091666669,0.223499998,0.017,75,0.0447548124025
1,125,1,0.0,0.200000003,0.034000002,0.174999997,-0.201499999,0.032000002,76,0.053372500228
1,126,1,-0.174999997,0.25,0.0,-0.091666669,-0.25,0.017000001,77,0.0429493988268
1,127,1,-0.174999997,0.25,0.034000002,-0.174999997,-0.223499998,0.032000002,78,0.0996999651054
1,131,1,-0.174999997,-0.25,0.114,0.0,-0.200000003,0.017000001,79,0.0
0,133,1,-0.125,-0.100000001,0.034000002,0.174999997,-0.25,0.017000001,80,0.093460076257
2,134,1,-0.150000006,-0.201499999,0.032000002,0.150000006,0.223499998,0.032499999,81,0.203430534431
1,135,1,0.091666669,0.25,0.017000001,0.174999997,0.223499998,0.032499999,82,0.177275822377
1,139,1,0.150000006,0.25,0.079999998,-0.150000006,0.24849999,0.032499999,83,0.0
0,142,1,0.175,-0.25,0.079999998,-0.116666667,0.25,0.0,84,0.0
1,142,1,0.175,-0.25,0.079999998,-0.116666667,0.25,0.0,85,0.272291426947
2,146,1,0.091666669,0.226500005,0.032499999,0.150000006,0.25,0.017000001,86,2.25735516175
2,146,1,-0.008333335,0.201499999,0.032499999,0.150000006,0.25,0.017000001,87,0.809756792777
0,148,1,-0.075000003,-0.200000003,0.057,0.0,0.25,0.0,88,0.244052468092
1,148,1,-0.075000003,-0.200000003,0.017000001,0.0,0.25,0.0,89,0.409045407794
1,150,1,0.0,0.200000003,0.0,0.174999997,0.25,0.017000001,90,0.256365298383
2,150,1,-0.091666669,0.24849999,0.032499999,0.174999997,0.25,0.017000001,91,0.404707726085
1,151,1,-0.174999997,-0.25,0.097000003,-0.116666667,-0.25,0.0,92,0.0157864700986
0,153,1,-0.125,0.200000003,0.057,-0.125,-0.100000001,0.079999998,93,0.114147061392
0,155,1,-0.075000003,-0.200000003,0.034,-0.075000003,-0.100000001,0.034000002,94,0.0218047230729
1,155,1,-0.075000003,-0.200000003,0.0,-0.075000003,-0.100000001,0.034000002,95,0.0403594750741
1,161,1,-0.116666667,0.25,0.0,-0.125,-0.200000003,0.057,96,0.115221176804
1,162,1,0.0,0.200000003,0.057,-0.125,-0.100000001,0.034000002,97,0.174689867325
0,163,1,-0.075000003,0.200000003,0.057,0.075000003,0.100000001,0.057,98,0.483087247875
1,163,1,-0.075000003,0.200000003,0.017000001,0.075000003,0.100000001,0.057,99,0.136543179542
2,164,1,0.174999997,0.24849999,0.032499999,0.075000003,0.200000003,0.057,100,0.0229150877633
1,167,1,0.174999997,0.25,0.0,0.075000003,0.0,0.057,101,0.0262743297001
0,168,1,-0.125,-2.77556e-17,0.034000002,0.125,-0.100000001,0.034000002,102,0.0510514124046
1,175,1,0.058333334,-0.25,0.114,-0.125,0.100000001,0.079999998,103,0.150888763591
0,177,1,-0.125,0.200000003,0.079999998,-0.125,0.100000001,0.057,104,0.130749474321
0,177,1,-0.125,0.224999994,0.079999998,-0.125,0.100000001,0.057,105,0.294605217151
1,177,1,-0.125,0.200000003,0.079999998,-0.125,0.100000001,0.057,106,0.0758842354673
1,177,1,0.116666667,0.25,0.0,-0.125,0.100000001,0.057,107,0.0849074264756
1,184,1,0.116666667,-0.25,0.0,0.125,-0.224999994,0.079999998,108,0.0990003769552
0,186,1,0.125,0.25,0.034000002,-0.125,-0.224999994,0.057,109,0.40832854986
1,186,1,0.125,0.25,0.034000002,-0.125,-0.224999994,0.057,110,0.0685289225453
2,190,1,-0.091666669,-0.24849999,0.032000002,0.075000003,0.100000001,0.034000002,111,0.124806644218
0,193,1,0.125,0.224999994,0.079999998,0.0,0.200000003,0.079999998,112,0.151129696728
0,198,1,0.125,0.25,0.034000002,-0.125,0.224999994,0.079999998,113,0.101521724706
1,198,1,0.125,0.25,0.034000002,-0.125,0.224999994,0.079999998,114,0.0827527063751
1,199,1,-0.150000006,-0.25,0.034000002,-0.125,-0.224999994,0.079999998,115,0.0
1,207,1,0.174999997,-0.25,0.114,0.0,-0.200000003,0.079999998,116,0.0652463880202
1,207,1,-0.033333331,-0.25,0.097000003,0.0,-0.200000003,0.079999998,117,0.053941970617
0,208,1,-0.075000003,-0.200000003,0.057,-0.075000003,0.200000003,0.097000003,118,0.0946863994636
