Frequency,N8671,N8768,N8774,N8775,N8808,N8826,N8931,N8937,N8979,N8983,N9025,N9027,N9032,N9089,N9132,N9135
133.746765137,0.000976969255134,0.045362520963,0.0236410237849,0.0348878838122,0.0629741325974,0.073052175343,0.0769857689738,0.0753208175302,0.00632962817326,0.00352458888665,0.0786173567176,0.077695146203,0.0548399835825,0.0792424306273,0.0146820060909,0.0686823278666
134.09362793,0.000986413797364,0.0456900857389,0.0238345228136,0.0351600907743,0.0633340924978,0.0733221098781,0.077104061842,0.0755123570561,0.00638501346111,0.00355575280264,0.0786313861609,0.0777464583516,0.0551959574223,0.079240180552,0.0148099195212,0.069005690515
134.464279175,0.000996657297947,0.0460453741252,0.0240444242954,0.0354553759098,0.0637241601944,0.0736136287451,0.0772299394011,0.0757182464004,0.00644506094977,0.00358952837996,0.0786436498165,0.0777992680669,0.0555818863213,0.0792348980904,0.0149486800656,0.0693556293845
134.863082886,0.0010078625055,0.0464341081679,0.0242740865797,0.035778477788,0.0641505867243,0.07393129915,0.0773651301861,0.0759415850043,0.0065107238479,0.00362644833513,0.0786540061235,0.0778540894389,0.0560039877892,0.0792261958122,0.015100505203,0.0697377249599
135.29586792,0.00102024932858,0.0468639843166,0.0245280489326,0.0361357852817,0.0646217912436,0.0742813050747,0.0775119811296,0.0761865675449,0.00658328551799,0.00366723141633,0.0786622241139,0.0779115855694,0.0564706064761,0.0792134702206,0.015268384479,0.0701594874263
135.770629883,0.00103412370663,0.047345764935,0.0248126387596,0.0365362279117,0.065149590373,0.0746722668409,0.077673740685,0.0764590352774,0.00666453875601,0.00371288019232,0.0786679908633,0.0779726728797,0.056993432343,0.0791959837079,0.0154564920813,0.0706314072013
136.298904419,0.00104993314017,0.0478951931,0.0251371059567,0.0369928516448,0.0657512322068,0.0751167908311,0.0778551623225,0.076767578721,0.00675710244104,0.00376486009918,0.0786707997322,0.0780386924744,0.0575895421207,0.0791725590825,0.0156709291041,0.0711688548326
136.898269653,0.00106837204657,0.04853669554,0.0255158152431,0.0375259183347,0.0664535164833,0.075634509325,0.0780636668205,0.0771255269647,0.00686503946781,0.00382544379681,0.0786699429154,0.0781117230654,0.0582854710519,0.0791414305568,0.0159211624414,0.0717957243323
137.597824097,0.00109061272815,0.0493115782738,0.0259730238467,0.0381696559489,0.067301787436,0.0762586370111,0.0783117637038,0.0775554329157,0.00699521088973,0.00389846786857,0.0786641389132,0.0781952738762,0.0591260679066,0.0790996104479,0.0162231791764,0.0725524052978
138.452011108,0.00111890118569,0.0502990968525,0.0265552643687,0.0389897227287,0.0683830976486,0.0770529955626,0.0786235481501,0.0781007185578,0.00716076605022,0.00399128394201,0.0786510333419,0.0782960802317,0.0601974353194,0.0790414586663,0.0166076309979,0.0735165327787
139.586929321,0.0011585917091,0.0516884513199,0.0273735299706,0.0401428118348,0.0699055269361,0.0781703665853,0.0790567100048,0.0788652896881,0.00739305326715,0.0041214148514,0.078624971211,0.0784303173423,0.0617052204907,0.0789536759257,0.0171476248652,0.0748737603426
141.482070923,0.00123096106108,0.0542333088815,0.0288694873452,0.0422526560724,0.0726990401745,0.0802213177085,0.0798420682549,0.0802649259567,0.00781667791307,0.00435848115012,0.0785641074181,0.0786627754569,0.0644690617919,0.0787846446037,0.0181338805705,0.077365309
150.378997803,0.00172890583053,0.0720693916082,0.0392681956291,0.0569688752294,0.0924895629287,0.0949472784996,0.0854670852423,0.0903619378805,0.0107365204021,0.00598700903356,0.0781203135848,0.080262504518,0.0839280560613,0.0777464658022,0.0249621365219,0.0951334312558
152.420654297,0.00190311542246,0.0784027501941,0.042935218662,0.0621728338301,0.0995913520455,0.100323453546,0.087560236454,0.0940910354257,0.0117597710341,0.00655640987679,0.0780047848821,0.0808708593249,0.0908682197332,0.0774839669466,0.0273622814566,0.10155941546
153.670074463,0.00202767620794,0.0829507037997,0.0455630235374,0.0659050568938,0.104709051549,0.104223586619,0.0890945196152,0.096810862422,0.0124917775393,0.00696349795908,0.0779365599155,0.081322774291,0.0958591401577,0.0773300006986,0.0290806274861,0.10620354116
154.624038696,0.00213405350223,0.0868454501033,0.0478104054928,0.0690986067057,0.109101966023,0.107587046921,0.0904281884432,0.0991657525301,0.0131171336398,0.00731114437804,0.0778874307871,0.0817194581032,0.100137338042,0.0772204250097,0.0305493269116,0.110197909176
155.414169312,0.00223079207353,0.090394705534,0.0498563274741,0.0720070526004,0.113112524152,0.110669396818,0.091658718884,0.101331040263,0.0136859705672,0.00762728042901,0.0778498128057,0.0820884481072,0.10403893888,0.0771380737424,0.0318857654929,0.113850437105
156.097595215,0.0023216670379,0.0937345176935,0.0517799146473,0.0747424662113,0.116892173886,0.11358372122,0.0928293392062,0.103384338319,0.0142204398289,0.00792424939573,0.0778204202652,0.0824420005083,0.107712596655,0.0770755410194,0.0331418327987,0.11729734391
156.704956055,0.00240873894654,0.0969391912222,0.053624343127,0.0773660242558,0.120523646474,0.116391837597,0.093963727355,0.105368129909,0.0147326309234,0.0082087861374,0.0777975097299,0.0827868431807,0.111239470541,0.0770289674401,0.0343458279967,0.120613068342
157.254852295,0.00249328138307,0.100054681301,0.0554163344204,0.0799156054854,0.124058187008,0.119132056832,0.0950766056776,0.107308775187,0.0152300205082,0.00848505366594,0.0777800902724,0.0831272155046,0.114669822156,0.076996140182,0.0355152785778,0.123843707144
157.759475708,0.00257615325972,0.103111997247,0.0571738891304,0.0824167206883,0.12753033638,0.121830306947,0.0961780026555,0.109224140644,0.0157176461071,0.00875585991889,0.0777675136924,0.0834660232067,0.11803753674,0.0769756957889,0.0366619825363,0.127020418644
158.227371216,0.00265797087923,0.106133408844,0.05890994519,0.0848877057433,0.130964964628,0.124505266547,0.0972752124071,0.111127138138,0.0161991231143,0.00902321748435,0.0777593776584,0.0838054046035,0.121366970241,0.0769668295979,0.037794418633,0.130165606737
158.664733887,0.00273919873871,0.109135754406,0.0606342703104,0.0873424261808,0.134380891919,0.127171099186,0.0983738005161,0.113027617335,0.0166771858931,0.00928864721209,0.077755458653,0.0841470211744,0.124676570296,0.0769690573215,0.038918979466,0.133296236396
159.07623291,0.00282020354643,0.112132325768,0.062354568392,0.0897917822003,0.137792989612,0.129839017987,0.0994782596827,0.114933378994,0.0171539820731,0.0095533458516,0.0777555927634,0.0844922438264,0.127980858088,0.0769821703434,0.0400407165289,0.13642577827
159.465484619,0.00290128425695,0.115133970976,0.0640771090984,0.0922446995974,0.141213402152,0.132518306375,0.100592292845,0.116850912571,0.0176312662661,0.00981829036027,0.0777597278357,0.0848422124982,0.131291717291,0.0770061090589,0.041163738817,0.139565214515
159.835388184,0.00298269162886,0.11814981699,0.0658072084188,0.0947086960077,0.144652426243,0.135216742754,0.101719118655,0.118785731494,0.0181105155498,0.0100843030959,0.0777678266168,0.0851979851723,0.134619191289,0.0770409479737,0.0422915108502,0.142723858356
160.188232422,0.0030646440573,0.121187821031,0.0675494447351,0.0971902906895,0.148118942976,0.137941211462,0.102861590683,0.120742663741,0.0185930114239,0.010352095589,0.0777799487114,0.0855604559183,0.13797198236,0.0770868957043,0.0434270352125,0.145909845829
160.525939941,0.0031473338604,0.124255038798,0.0693078860641,0.0996952652931,0.151620954275,0.140697807074,0.104022286832,0.122726090252,0.0190798863769,0.0106222974136,0.0777961537242,0.0859305039048,0.141357824206,0.0771442502737,0.0445729792118,0.149130389094
160.850082397,0.00323093729094,0.127357885242,0.0710862502456,0.102228879929,0.155165717006,0.143492177129,0.105203621089,0.124740034342,0.0195721704513,0.0108954813331,0.077816568315,0.0863089561462,0.144783809781,0.0772133842111,0.0457317605615,0.15239213407
161.162002563,0.00331561616622,0.130502313375,0.0728879570961,0.104796022177,0.158759921789,0.146329537034,0.106407873333,0.126788288355,0.0200708191842,0.011172180064,0.0778413116932,0.0866966098547,0.148256450891,0.0772947445512,0.0469056218863,0.155701249838
161.462814331,0.00340152322315,0.133693948388,0.0747162550688,0.107401289046,0.162410020828,0.149214923382,0.107637256384,0.128874450922,0.0205767322332,0.0114528927952,0.0778705701232,0.0870942547917,0.151781976223,0.0773888900876,0.0480966791511,0.15906354785
161.753509521,0.00348880537786,0.136938214302,0.0765742436051,0.110049121082,0.166122123599,0.152153149247,0.108893945813,0.13100206852,0.0210907757282,0.0117380972952,0.0779045447707,0.0875026881695,0.155366331339,0.0774964317679,0.0493069589138,0.162484705448
162.034927368,0.00357760558836,0.140240371227,0.0784649625421,0.112743809819,0.169902250171,0.155148923397,0.110180079937,0.133174598217,0.0216137841344,0.0120282620192,0.0779434517026,0.0879226997495,0.159015312791,0.0776180252433,0.0505384355783,0.165970236063
162.307800293,0.00366806378588,0.143605604768,0.0803913772106,0.115489594638,0.173756301403,0.158206984401,0.111497811973,0.135395497084,0.0221465844661,0.0123238423839,0.0779875591397,0.0883551090956,0.162734657526,0.0777544528246,0.0517930500209,0.169525578618
