Frequency,N8757,N8758,N8763,N8788,N8811,N8813,N8815,N8932,N8973,N8975,N9020,N9024,N9038,N9048,N9103,N2969,N2970,N2983,N2996,N3011,N3016,N3281,N3788,N3789
1.13669717312,2.60673768935e-05,1.70496041392e-05,1.11352819658e-05,9.80787153821e-05,4.4164564315e-05,6.3621730078e-05,5.28723248863e-05,7.23395714886e-05,2.08148480851e-06,5.45965690435e-07,9.0190784249e-05,8.25177630759e-05,3.38331374223e-05,4.40853227701e-06,0.00010307480261,1.10052241098e-07,1.27293077412e-07,8.13576548353e-08,8.53280610613e-08,2.11940843542e-07,1.77087301267e-07,8.4222548935e-08,1.39404349397e-07,1.07761657375e-07
1.14470505714,2.64373757091e-05,1.72916388692e-05,1.1293350326e-05,9.94704314508e-05,4.47914208053e-05,6.45246836939e-05,5.36227780685e-05,7.33662454877e-05,2.11105020753e-06,5.53709583073e-07,9.14706688491e-05,8.36887920741e-05,3.43133906426e-05,4.47115598945e-06,0.000104537371953,1.1161291269e-07,1.29099475998e-07,8.25105530566e-08,8.65371987402e-08,2.14944464005e-07,1.795962703e-07,8.54163104691e-08,1.41379999263e-07,1.09291342199e-07
1.15284848213,2.68163439614e-05,1.75395416591e-05,1.14552512969e-05,0.000100895878859,4.54334585811e-05,6.54495306662e-05,5.43914247828e-05,7.44178032619e-05,2.1413329705e-06,5.61641058994e-07,9.27815563045e-05,8.48882118589e-05,3.48052781192e-05,4.53529901279e-06,0.000106035375211,1.13211370945e-07,1.30949658228e-07,8.36913329749e-08,8.77755823581e-08,2.18020744569e-07,1.82165905471e-07,8.66389626708e-08,1.43403482866e-07,1.10858117353e-07
1.1611315012,2.72046090686e-05,1.77935253305e-05,1.16211249406e-05,0.000102356272691,4.60912524431e-05,6.63970567985e-05,5.51789235033e-05,7.54951543058e-05,2.17235924538e-06,5.69766939407e-07,9.41246034927e-05,8.61170410644e-05,3.53092364094e-05,4.60101728095e-06,0.000107570122054,1.14849008526e-07,1.32845229928e-07,8.49010319826e-08,8.90442919399e-08,2.21172371084e-07,1.84798437886e-07,8.78915571434e-08,1.45476491298e-07,1.12463339974e-07
1.16955840588,2.76025166386e-05,1.80538190762e-05,1.17911176858e-05,0.000103852929897,4.6765384468e-05,6.73681206536e-05,5.59859799978e-05,7.65992517699e-05,2.20415654439e-06,5.78094443426e-07,9.55009963945e-05,8.73763783602e-05,3.58257093467e-05,4.66836900159e-06,0.000109142965812,1.1652727494e-07,1.34787853767e-07,8.61407158936e-08,9.03444430378e-08,2.24402114668e-07,1.87496212334e-07,8.91752023335e-08,1.4760088618e-07,1.14108431148e-07
1.17813360691,2.80104286503e-05,1.83206557267e-05,1.19653850561e-05,0.000105387203803,4.74564658361e-05,6.83635880705e-05,5.68133255001e-05,7.77311142883e-05,2.23675419875e-06,5.86631131227e-07,9.69119864749e-05,8.86673806235e-05,3.63551735063e-05,4.73741602036e-06,0.000110755332571,1.18247676539e-07,1.36779306104e-07,8.74115002603e-08,9.16772151527e-08,2.27712902756e-07,1.90261658872e-07,9.04910706367e-08,1.49778600189e-07,1.15794883015e-07
1.18686187267,2.84287270915e-05,1.85942917597e-05,1.21440916701e-05,0.000106960527773,4.81651368318e-05,6.93844049238e-05,5.76617385377e-05,7.88917895989e-05,2.27018267651e-06,5.95384960889e-07,9.8358890682e-05,8.99912338355e-05,3.68981163774e-05,4.80822245663e-06,0.000112408743007,1.20011847571e-07,1.3882146277e-07,8.87145787942e-08,9.30438517344e-08,2.31107833315e-07,1.93097363876e-07,9.18403841865e-08,1.52011651267e-07,1.17524280085e-07
1.19574785233,2.88578139589e-05,1.88749818335e-05,1.23274057842e-05,0.000108574422484,4.8892085033e-05,7.04315389157e-05,5.85320303799e-05,8.00823909231e-05,2.30447381e-06,6.04364402079e-07,9.98430987238e-05,9.13492331165e-05,3.7455058191e-05,4.88085697725e-06,0.000114104776003,1.2182145781e-07,1.40916256441e-07,9.00511878399e-08,9.44456672869e-08,2.3459014642e-07,1.96006013198e-07,9.32244361707e-08,1.54302185251e-07,1.19298292134e-07
1.20479679108,2.9298109439e-05,1.91630078916e-05,1.25155120259e-05,0.000110230459541,4.96380271215e-05,7.15060377843e-05,5.94250632275e-05,8.13040969661e-05,2.33966193264e-06,6.13578265529e-07,0.000101366073068,9.27426954149e-05,3.80265591957e-05,4.9553914323e-06,0.000115845105029,1.2367829072e-07,1.43065776115e-07,9.14226490067e-08,9.58840189469e-08,2.38163252675e-07,1.9899049164e-07,9.46445766203e-08,1.56652433247e-07,1.21118645779e-07
1.21401393414,2.97500646411e-05,1.94586627913e-05,1.27085968415e-05,0.00011193031969,5.04037161591e-05,7.26089783711e-05,6.03417392995e-05,8.25581519166e-05,2.37578228734e-06,6.23035816716e-07,0.000102929363493,9.41730468185e-05,3.86131905543e-05,5.0319008551e-06,0.000117631498142,1.25584236343e-07,1.4527218184e-07,9.28303407477e-08,9.73603704324e-08,2.41830775849e-07,2.02053797693e-07,9.61022550428e-08,1.5906479689e-07,1.22987202644e-07
1.22340488434,3.02141470456e-05,1.97622521227e-05,1.29068648675e-05,0.000113675778266,5.11899561388e-05,7.37415030017e-05,6.12830117461e-05,8.38458436192e-05,2.4128730729e-06,6.32746889551e-07,0.000104534577986,9.56417716225e-05,3.92155634472e-05,5.11046573592e-06,0.000119465796161,1.27541255779e-07,1.47537789985e-07,9.42757267808e-08,9.88762565157e-08,2.4559651024e-07,2.05199100378e-07,9.75989635776e-08,1.61541763077e-07,1.24905923826e-07
1.23297548294,3.06908550556e-05,2.00741033041e-05,1.31105280161e-05,0.000115468719741,5.19975728821e-05,7.49048413127e-05,6.22498919256e-05,8.51685617818e-05,2.45097339757e-06,6.42721943223e-07,0.000106183462776,9.71504414338e-05,3.98343217967e-05,5.19117020303e-06,0.000121349978144,1.29551452233e-07,1.49865002186e-07,9.57603489837e-08,1.00433283023e-07,2.4946447752e-07,2.08429753457e-07,9.91363293679e-08,1.64085960819e-07,1.26876827267e-07
1.24273204803,3.11807125399e-05,2.03945546673e-05,1.33198091135e-05,0.000117311072245,5.28274758835e-05,7.61002665968e-05,6.32434312138e-05,8.65277615958e-05,2.49012623499e-06,6.52971891668e-07,0.000107877815026,9.87007078947e-05,4.04701495427e-05,5.27410247741e-06,0.000123286095913,1.31617042598e-07,1.52256404817e-07,9.72858344994e-08,1.02033176574e-07,2.53438912523e-07,2.11749309642e-07,1.00716000873e-07,1.66700203863e-07,1.28902115648e-07
1.25268089771,3.16842742905e-05,2.07239772863e-05,1.35349455377e-05,0.000119204974908,5.36805964657e-05,7.73291249061e-05,6.4264779212e-05,8.79249855643e-05,2.53037524089e-06,6.63508330945e-07,0.000109619555587,0.000100294353615,4.1123774281e-05,5.35935851076e-06,0.000125276390463,1.33740343244e-07,1.54714697942e-07,9.88539028413e-08,1.03677720631e-07,2.57524334302e-07,2.151615206e-07,1.02339797081e-07,1.69387433857e-07,1.30984062707e-07
1.26282894611,3.22021296597e-05,2.10627513297e-05,1.37561910378e-05,0.000121152603242,5.45579350728e-05,7.85928787082e-05,6.53151219012e-05,8.93618707778e-05,2.57176839114e-06,6.74343596074e-07,0.000111410721729,0.000101933212136,4.17959527113e-05,5.44703698324e-06,0.000127323131892,1.35923855282e-07,1.57242737941e-07,1.00466380104e-07,1.05368840764e-07,2.61725460859e-07,2.18670322738e-07,1.04009600932e-07,1.721507914e-07,1.33125126922e-07
1.27318334579,3.273490438e-05,2.14112860704e-05,1.39838111863e-05,0.000123156321933,5.54605430807e-05,7.98930195742e-05,6.63957180222e-05,9.08401416382e-05,2.6143550258e-06,6.854907042e-07,0.00011325347441,0.00010361927707,4.24874924647e-05,5.53724385099e-06,0.000129428823129,1.38170179298e-07,1.59843594361e-07,1.0212520607e-07,1.0710856202e-07,2.66047322839e-07,2.22279965101e-07,1.0572740905e-07,1.7499357341e-07,1.35327880457e-07
1.28375172615,3.32832569256e-05,2.17700144276e-05,1.42180870171e-05,0.00012521861936,5.63895409869e-05,8.12311773188e-05,6.75078990753e-05,9.23616316868e-05,2.65818789558e-06,6.96963411428e-07,0.000115150091005,0.000105354629341,4.31992593803e-05,5.63009234611e-06,0.000131596068968,1.40482100619e-07,1.62520493063e-07,1.03832427101e-07,1.08899044449e-07,2.70495320365e-07,2.25994853054e-07,1.07495345958e-07,1.77919304178e-07,1.37595051797e-07
1.29454195499,3.38478967024e-05,2.21393966058e-05,1.44593213918e-05,0.000127342107589,5.73461256863e-05,8.2609069068e-05,6.86531202518e-05,9.39282908803e-05,2.70332384389e-06,7.08776497049e-07,0.000117103008961,0.000107141502667,4.39321556769e-05,5.7256997934e-06,0.00013382761972,1.42862589314e-07,1.65276830444e-07,1.05590210353e-07,1.10742554682e-07,2.75075080935e-07,2.29819775655e-07,1.09315671182e-07,1.80931721161e-07,1.39929539955e-07
1.30556249619,3.44295622199e-05,2.2519921913e-05,1.47078317241e-05,0.000129529609694,5.83315595577e-05,8.40284992591e-05,6.98328731232e-05,9.55421855906e-05,2.74982221526e-06,7.20945479316e-07,0.000119114811241,0.000108982247184,4.46871672466e-05,5.82419488637e-06,0.000136126458528,1.45314771771e-07,1.68116287114e-07,1.07400886407e-07,1.12641536987e-07,2.79792629954e-07,2.33759735124e-07,1.11190779251e-07,1.84034760764e-07,1.4233447132e-07
1.31682240963,3.50290501956e-05,2.29121105804e-05,1.4963958165e-05,0.000131784123369,5.93471886532e-05,8.54914324009e-05,7.1048780228e-05,9.72055349848e-05,2.79774735645e-06,7.33486899662e-07,0.000121188226331,0.000110879373096,4.54653090856e-05,5.92571132074e-06,0.000138495670399,1.47842001752e-07,1.71042700003e-07,1.09266913739e-07,1.14598556422e-07,2.84654447569e-07,2.37820103166e-07,1.13123213907e-07,1.87232686244e-07,1.44813071756e-07
